Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,var,count
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Calculus of urinary tract ,AIAN,460
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Hematuria ,AIAN,521
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other ,AIAN,371
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis) ,AIAN,841
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Incontinence ,AIAN,610
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Symptoms - Other ,AIAN,541
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY, Urinary Conditions - Other ,AIAN,772
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Male genital disorders ,AIAN,2942
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,STIs ,AIAN,209
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Vaginitis/ cervicitis/ and other pelvic inflammatory conditions ,AIAN,156
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Cervical Dysplasia/ASCUS ,AIAN,67
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Endometriosis ,AIAN,32
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menstrual disorders ,AIAN,182
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Fibroids ,AIAN,32
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,"Ovarian cyst at least once, FY13",AIAN,41
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Polycystic ovaries ,AIAN,26
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Benign Gynecologic Neoplasms - Other ,AIAN,20
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Prolapse of female genital organs ,AIAN,16
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Female Reproductive Organ Disorders - Other ,AIAN,274
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Sexual Dysfunction ,AIAN,1950
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Contraceptive Care Management ,AIAN,280
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Infertility ,AIAN,39
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menopausal disorders ,AIAN,177
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Miscarriage ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Ectopic pregnancy ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy or Delivery - Normal ,AIAN,99
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy with Obstetrical Complications or Prolonged ,AIAN,71
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy complicated by DM ,AIAN,16
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy complicated by HTN ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy Complicated by Other Medical Conditions ,AIAN,33
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,BREAST,PerBreast Conditions/Benign or Unknown ,AIAN,201
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,BREAST,Breast conditions abnormal radiologic findings ,AIAN,29
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,PerCancer - Cervical,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Uterine ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Ovarian ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER, Cancer - Female Reproductive - Other ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Carcinoma in Situ - Cervical ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Carcinoma in Situ - Female Reproductive - Other,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Breast ,AIAN,69
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,"Carcinoma in Situ - Breast, Ductal or Lobular ",AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Lymphomas,AIAN,111
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Leukemias ,AIAN,79
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Multiple myeloma ,AIAN,35
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Brain/Nervous System ,AIAN,23
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Head and Neck ,AIAN,131
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Thyroid ,AIAN,42
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Bronchopulmonary ,AIAN,192
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Esophagus ,AIAN,26
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Gastric,AIAN,15
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Colorectal ,AIAN,226
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Anal ,AIAN,BT
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Hepatobiliary,AIAN,64
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Pancreatic ,AIAN,19
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Renal ,AIAN,133
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Bladder ,AIAN,141
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Prostate ,AIAN,1026
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Testicular ,AIAN,20
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Bone/Connective Tissue ,AIAN,25
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Melanoma ,AIAN,100
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Carcinoma in Situ - Other ,AIAN,16
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CANCER,Cancer - Other and Unspecified Primary ,AIAN,389
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,HEMATOLOGIC/IMMUNOLOGIC,Anemia ,AIAN,2096
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,HEMATOLOGIC/IMMUNOLOGIC,Thrombocytopenia ,AIAN,319
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,HEMATOLOGIC/IMMUNOLOGIC,Coagulation and hemorrhagic disorders ,AIAN,187
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,HEMATOLOGIC/IMMUNOLOGIC,Hematologic/Immunologic Conditions - Other ,AIAN,610
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Connective Tissue Disease ,AIAN,97
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Rheumatoid Arthritis and Related Disease ,AIAN,330
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Inflammatory Spondyloarthropathies ,AIAN,99
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Polymyalgia Rheumatica,AIAN,21
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Vasculitis ,AIAN,14
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Gout/Crystal Arthropathies,AIAN,801
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Spine Disorders - Cervical ,AIAN,2009
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Spine Disorders - Lumbosacral ,AIAN,6398
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Spine Disorders - Other/Unspecified ,AIAN,2821
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Joint Disorders - Upper Extremity,AIAN,3563
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Joint Disorders - Lower Extremity ,AIAN,6017
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Joint Disorders - Unspecified or Multiple Joints ,AIAN,5129
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Foot deformities ,AIAN,916
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Fracture - hip ,AIAN,76
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Fracture - Other ,AIAN,841
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Osteomyelitis/Infectious Arthritis ,AIAN,185
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Amputation ,AIAN,314
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Myasthenia Gravis/Myoneuronal Disorders,AIAN,13
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,"Myalgia/Myositis, unspecified ",AIAN,539
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,MUSCULOSKELETAL,Musculoskeletal conditions - Other ,AIAN,2760
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Multiple sclerosis,AIAN,53
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Epilepsy- convulsions ,AIAN,577
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Parkinsons disease ,AIAN,172
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Intracranial Hemorrhage ,AIAN,60
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,TBI ,AIAN,900
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Dementia ,AIAN,550
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Cognitive Disorders - Other ,AIAN,1014
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,NEUROLOGIC,Spinal cord injury ,AIAN,146
